Unnamed: 0,label,text,label_num
3444,ham,conoco big cowboy darren sure help know else ask april may gas pathed deal 133304 conoco gepl big cowboy point conoco saying buy gas accounted hpl big cowboy gas think paid 1 5 mil month gepl gas know added gepl meter deal april could bought gas someone else meter statements tejas say supply company megan,0
2982,ham,feb 01 prod sale teco gas processing sale deal 235670 expired 12 00 julie deal expired teco gas processing sale 02 01 deal extended pls let know redraft sale unify katherine 5 8643 unable draft volume unify due expired deal ticket,0
2711,ham,california energy crisis california  power crisis generated heated debate last several months unfortunately debate generated heat light want know facts crisis please spend minutes reading following overview situation position california energy issues happened california source california  current problem straightforward supply demand california  economy grew 29 percent since 1998 increased demand electricity 24 percent time regulatory restrictions prevented new generation getting built state demand grew regulations prevented supplies added result predictably shortage summer peak capacity 10 percent shy peak demand leading blackouts state addition supply demand imbalance two related factors led current crisis first state  regulations forced sales purchases spot market spot market power extraordinarily volatile way firms behave free market faced volatility construct portfolio purchases long term medium term short term reduce exposure volatility california state regulation prevented strategy would equivalent putting entire state adjustable rate mortgage volatile interest rate environment imaginable everything fine power surplus persisted shortages ensued every megawatt purchased sky rocketing spot price second retail markets deregulated regulated retail rates remained effect stranded cost recovery charges structured keep competition meant utilities forced pay high wholesale prices spot market able recover costs regulated retail rate nearly bankrupt short california  problems caused regulation deregulation regulations prevented competitors entering market prevented new generation built prevented prudent hedging volatile spot prices time california developing restructuring plan enron warned state  policy makers risks proposed alternatives adopted would averted current crisis enron  role many political leaders state elected fix blame rather fix problem power sellers including enron vilified politicians media facts small amount wind power enron generator state california every megawatt sold california bought market available california purchasers market maker generator biased toward high prices interested market works package products customers seller end use markets state provided protection problems states  utilities customers face protected still protect customers price volatility may read ees recently elected utilities supply power directly customers california instead procuring power open market early reports mischaracterized  enron continues sign customers state enron continues actively manage risks capture opportunities western power markets enron  primary business managing risk customers solutions customized meet needs never demand products services solution solution california  crisis also straightforward summary state must increase supply reduce demand reduce reliance spot market shore financial stability state  utilities increasing supply california  process siting permitting new generation nothing short byzantine enron built plants elsewhere country less year california often takes 5 7 years california simply must streamline process ironically many regulations generators must overcome aimed improving environmental quality regulations preventing new clean technology coming online displacing current plants emit 40 times much nox california abundant power cleaner air expediting permitting new facilities reducing demand customers california today incentive reduce shift demand pay rate matter market price open retail market would trigger demand responses would balance supply demand lower prices today california fully open retail market reducing reliance spot market truly deregulated market customers would protect volatile spot prices purchasing requirements longer term fixed price basis state instead left procurement hands utilities forced buy exclusively spot market opening market retail level give customers control price risk restoring financial integrity state  institutions utilities california paying bills led greater uncertainty market higher costs reduced flexibility arrive lasting solutions california must permit utilities recover costs pay bills invest transmission distribution assets necessary get power needed important things state must avoid policies politically attractive fix problem even make matters worse price caps proposed  work never worked work price caps succeed creating shortages allocated among competing users imagine ineffectively government would determining example whether better make limited power supplies available imperial valley silicon valley price caps surefire way make current shortage worse state also proposed take generation transmission california reason believe every reason doubt state effective free markets investing constructing operating maintaining assets also result california tax revenues spent power transmission power generation private sector instead education roads public goods private sector cannot approached people outside company learning crisis media  important know enron continue serve customers continue propose real solutions state,0
3116,ham,nom actual volume april 23 rd agree eileen ponton 04 24 2001 12 18 39 pm david avila lsp enserch us tu charlie stone texas utilities tu melissa jones texas utilities tu hpl scheduling enron com liz bellamy enron com cc subject nom actual volume april 23 rd nom mcf mmbtu 30 208 30 046 30 858 btu 1 027,0
1314,ham,eastrans nomination changes effective 8 2 00 please increase deliveries eastrans 25 000 mmbtu dy 8 2 00 redeliveries 7 800 fuels cotton valley 17 200 pg e,0
3295,ham,lufkin may 27 th lufkin industrial market go 5 000 going move sale lyondell meter 5045 sales price remain index minus 12 sale remain lyondell approximately 2 weeks since screen fallen 1 good thing us nice thing entex us thanks janet,0
205,ham,equistar fyi activity rescheduled reallocated lee l papayoti 01 27 2000 11 17 robert e lloyd hou ect ect cc stella l morris hou ect ect daren j farmer hou ect ect kenneth seaman hou ect ect subject equistar equistar requested scheduling nomination change retroactive january 1 start month janice nominated small volume meter 1165 maybe 1266 dupont victoria equistar wants volume go meter 1552 instead whole month jan questions call 3 5923 thanks lee,0
1172,ham,interview schedule liz bellamy today attached please find interview packet referenced person interview happen thursday july 13 2000 please print three documents hard copies questions conflicts schedule please hesitate contact,0
2951,ham,calpine daily gas nomination julie mention earlier hope start unit afternoon still experiencing difficulties keep informed thanks ricky archer fuel supply 700 louisiana suite 2700 houston texas 77002 713 830 8659 direct 713 830 8722 fax calpine daily gas nomination 1 doc calpine daily gas nomination 1 doc,0
1736,ham,enron hpl actuals september 29 october 1 2000 friday september 29 2000 teco tap 16 187 enron 94 230 hpl gas daily hpl ls katy flow saturday september 30 2000 teco tap 50 000 hpl gas daily hpl ls katy flow sunday october 1 2000 teco tap 45 000 enron 7 083 hpl iferc hpl ls katy 15 000 enron,0
